"TBARS" "X411.654" "X415.222" "X418.788" "X422.351" "X425.911" "X429.469" "X433.024" "X436.576" "X440.125" "X443.672" "X447.216" "X450.757" "X454.295" "X457.831" "X461.363" "X464.894" "X468.421" "X471.946" "X475.467" "X478.987" "X482.503" "X486.017" "X489.527" "X493.036" "X496.541" "X500.044" "X503.543" "X507.041" "X510.535" "X514.027" "X517.516" "X521.002" "X524.485" "X527.966" "X531.444" "X534.919" "X538.391" "X541.861" "X545.328" "X548.792" "X552.253" "X555.712" "X559.168" "X562.621" "X566.072" "X569.519" "X572.964" "X576.407" "X579.846" "X583.283" "X586.717" "X590.148" "X593.576" "X597.002" "X600.425" "X603.845" "X607.263" "X610.677" "X614.089" "X617.499" "X620.905" "X624.309" "X627.710" "X631.108" "X634.504" "X637.896" "X641.286" "X644.674" "X648.058" "X651.440" "X654.819" "X658.195" "X661.569" "X664.939" "X668.307" "X671.673" "X675.035" "X678.395" "X681.752" "X685.106" "X688.458" "X691.807" "X695.153" "X698.496" "X701.836" "X705.174" "X708.509" "X711.842" "X715.171" "X718.498" "X721.822" "X725.143" "X728.462" "X731.778" "X735.091" "X738.401" "X741.709" "X745.014" "X748.316"
"e01_1" 39.3199997 3924.4165 4302.75 4548.5 4894.8335 5268.833 5711.25 5993.917 6265.167 6571.917 6829.667 7126.4165 7474.5835 7744.3335 8096.5 8366.833 8542.834 8404.084 8297.166 8117.1665 8080.0835 8034.833 7945.5835 7904.6665 7895.667 7864.5 7910.583 7937.5 7958.5835 7950.833 7799.25 7625.5 7407.083 7218.4165 6994 6726.667 6496.6665 6215.5 6014.167 5736.25 5431.833 5211.667 4971.083 4786.6665 4639.083 4650.1665 4410.583 4017.5835 3705.5 3382.3335 3140.5 2869 2649.8335 2457.3335 2259.3335 2102 1975 1850.3333 1797.6666 1667.5834 1579 1506.3333 1391.8333 1284.9167 1175.0834 1096.6667 1032.1667 977.5 902.916626 848.833313 771.75 715.75 676.25 622.833374 575.666626 542.5 506.3333435 479.583313 443.083313 426.416687 406.916687 370.666687 330.25 319.333313 287 309.75 291 281.083313 250.6666718 250.1666565 229.5 211.9166718 207.9166565 193.0833435 181.9166565 172.9166565 154.1666565 155.4166565 152.3333282 144.9166565
"e01_4" 84.7799988 3719.4165 4294.917 4915.333 5386.583 6091.5 6784.5835 7493.3335 8117.8335 8668.833 9147.417 9696.917 10183.083 10671.75 11275.416 11727.25 12186.5 12491.25 12408.25 12200.166 12051.583 11903.834 11795.584 11672.916 11517.416 11436.666 11355.916 11279.666 11183.167 11213.166 11011.666 10770.584 10498.334 10206.833 9886 9559.084 9221 8936.167 8557.833 8183.3335 7855.5835 7488.083 7098.833 6827.5835 6577 6395.75 6305.583 6065.9165 5597.75 5078.75 4711.5835 4331 4025.0833 3717.0833 3433.8335 3154.75 2928.5 2793.5833 2623.1667 2478.0835 2335.3333 2207.8335 2050.25 1933.5834 1824.4166 1668.9167 1548.25 1460 1354.9166 1285.25 1212.5833 1096.8334 1017.5834 968.916626 889 838.833313 779.833374 730.416626 681.5 637.75 601.583374 550.666626 511.5 476.4166565 448.166687 410.833313 399.75 384.916687 364.666687 352.75 325 302.083313 282.5 270.25 245.1666718 234.0833435 220.8333435 222.6666565 214.3333435 189.8333435
"e01_8" 42.4300003 5751 6769.0835 7726.1665 8617.833 9686.834 10905.083 11968.916 12900.25 13614.417 14286.833 14997.834 15688.416 16369.084 17105.582 17786.082 18424.166 18731.084 18707.168 18327.666 18093.75 17808.666 17571.832 17298.584 16985.082 16735.582 16598 16257.584 16090.084 15881.834 15587.584 15130.084 14705.666 14188.584 13666.25 13209.083 12715.083 12157.667 11703.084 11214 10718.416 10178.167 9724.667 9262.666 8949.667 8709.917 8588.666 8264.5 7572.167 6954.167 6391 5897.6665 5487.6665 5070.333 4724.3335 4363.667 4024.1665 3821.5835 3604.75 3414 3228.5 3085.25 2851.8335 2698.25 2494.8333 2323.8335 2172.25 1999.4167 1901 1794.8333 1668.4167 1541.0834 1425.5 1319.9167 1236.5 1158.25 1081.4167 1012.6666 953.25 893.416687 847 784.5 719.833374 676.416687 634 583.916626 566.166626 530.583313 495.416687 469.4166565 438.25 397.416687 386.583313 363.833313 333.75 310.416687 301 303.5 283.75 264.083313
"e02_1" 43.5 4539 5037.333 5371.583 5783.25 6307 6877.5 7363.1665 7742.75 8111.5 8547.084 8959.75 9365.25 9774.416 10139.583 10549.75 10822.166 10694.334 10552 10300.833 10174.166 10179 9992.084 9860 9791.666 9727.166 9583.416 9574.25 9497 9413.083 9154.5 8930.5 8618.5 8398.417 8036.167 7726.333 7419.917 7153.75 6850.167 6553.333 6246.25 5924.667 5622 5403.4165 5292.5 5270.1665 5017.667 4635.667 4150.6665 3842.4165 3564.6667 3288.5835 3042.5 2828.6665 2602.1665 2419.6665 2265.25 2159.3333 2009 1910.8333 1832.9167 1693.5 1624.8333 1475.0833 1372.0833 1255.4167 1182.0833 1113.4167 1043.9166 989.583374 883.583313 846.833374 786.083374 743.25 666.166687 641.333374 603.666626 573.333374 514.333374 477.083313 475.8333435 430.666687 402.4166565 362.3333435 349.333313 360.166687 340.333313 321.5833435 286.4166565 292.9166565 266.166687 252.75 246.25 229.5833435 207 202.9166565 190.1666565 187.5833435 180.25 163.6666565
"e02_4" 83.5 3649.3335 4286.167 4916.8335 5477.333 6153.833 6922.5 7616 8302.083 8896.334 9374.833 9928.5 10455.416 10940.75 11469.417 12000 12471.25 12729.834 12656.5 12486.25 12299.834 12185.917 12118.75 11958.25 11857.084 11766.417 11703.25 11631 11572.416 11543.916 11431.416 11204.416 10918.75 10640.083 10337.834 10032 9635.25 9295.916 8950.584 8580.166 8212.334 7839.75 7475 7198.917 6928.417 6771.25 6670.917 6434.8335 5904.083 5400.667 4976.75 4609.667 4248.583 3914.75 3625.9165 3369.75 3115.3335 2925.9165 2775.1665 2661 2501.5833 2351.9167 2215.5 2074.4165 1935.3333 1792.6667 1672.8333 1559.25 1449.3333 1398.1667 1289.5833 1192.3333 1085.4167 1022.25 962.666626 896.833374 829.416626 773.583374 724.166626 679.916626 639.666626 581 553.416626 505.3333435 475.333313 444.666687 430.166687 417.166687 380.583313 367.75 339.8333435 320.333313 290.5833435 279.5833435 258.1666565 245.5833435 232.4166565 231.25 221.8333435 206.8333282
"e02_8" 38.2200012 5517.917 6499.6665 7557.167 8514.167 9673.667 10857.833 12052.25 13106.667 13937.75 14717.167 15506.583 16196.416 17044.084 17801.834 18479.5 19190.832 19565.75 19411.666 19064.75 18781.084 18460.418 18185 17930.75 17580 17219.334 16962.418 16636.75 16343.417 16099.584 15760.167 15254.75 14720.166 14268.75 13722.834 13263.584 12761.166 12313.167 11789.25 11296.166 10864.584 10327.25 9796.25 9374.083 9048.167 8813.75 8694.166 8426 7688.667 7073.75 6496.4165 6057.25 5559.25 5161.833 4786.167 4412.833 4112.333 3874 3660.5835 3507.5835 3329.75 3159.5 2964.3335 2782.6667 2592.3335 2408.5 2250.1667 2084.25 1962.75 1878.9167 1749.75 1617.6667 1507.75 1382.6667 1294 1203.5 1135.4167 1053 996 918.916626 862.833374 815 743.416626 700 647.083374 613.083374 595.666626 550.25 507.5833435 485.083313 460 425.25 405.9166565 383.333313 356.1666565 345.25 317.166687 313.416687 299.25 270.916687
"e03_1" 30.4300003 6998.833 7545 8089.167 8723.834 9333.917 10037.166 10492.25 10747.084 10977.166 11235.5 11531 11810.5 12182.916 12414.167 12665.333 12675.416 12350.75 12058.916 11609 11333.166 11187.666 10890.167 10614.084 10419.166 10286.334 10096.416 9880.667 9759.5 9474.167 9160.584 8903.834 8561.084 8202.417 7837.833 7494.833 7105.6665 6851.9165 6526.25 6146.667 5846.833 5526.5 5253.4165 5020.1665 4860.833 4819.333 4595.583 4153.4165 3817.3335 3476.25 3223.5 2941.9165 2696.5 2474.25 2297.9167 2137.4167 1974.9167 1877.5 1777.9166 1681.25 1567.75 1463.5833 1378.6667 1268.4167 1156.5 1077 1001.5 924.416626 888.416626 835.75 741.916626 707.25 639.416626 588 564.583374 535.416687 499.333313 467.5833435 419.166687 406.25 386.583313 349 318.5833435 315.666687 298.416687 328.583313 296.1666565 282.833313 263.9166565 253.1666718 249.8333282 217.5 214.8333435 206.8333435 177.5833435 171.75 162.0833282 154.8333435 169.25 142.1666565
"e03_4" 90.0500031 4392.833 5054.833 5686.083 6233.333 6975 7774 8510.667 9183.083 9749.834 10161.5 10640.834 11100.417 11530.25 12025.584 12383.083 12768.834 12977.417 12871.584 12602.75 12364.166 12174.666 12029 11805.916 11673 11526.667 11381.166 11287.75 11165.084 11055.75 10894.5 10644.916 10346.25 9989.833 9653.5 9314.5 8976.584 8620.166 8291.916 7911.167 7588 7240.6665 6896.417 6572 6352.417 6169.667 6089.75 5855.833 5389.8335 4933.25 4529.25 4212.75 3868.0835 3591.4165 3304.1665 3089.25 2869.75 2698.4165 2541.0835 2411.4165 2285.8335 2142.75 2013.4166 1892.9167 1786.25 1631.6667 1536.4166 1407.6667 1343.6666 1266.4167 1178.75 1086.25 1003.8333 945.666687 888.083313 815.25 771.166626 728.166626 693.25 644 603.25 549.916626 507.25 477.5 447.333313 419.916687 407.9166565 384.75 367.333313 344.166687 330.3333435 306.75 284.0833435 278.666687 255.5833282 237.1666565 220.9166718 230.4166718 214.5 199.75
"e03_8" 41.3300018 7546.25 8785.584 10059.833 11235.416 12618.584 14067.084 15458.584 16597.5 17424 18116.668 18821.168 19399.332 19961.666 20654.25 21149.582 21672.832 21818.332 21434.584 20734.168 20120.418 19621.918 19054 18612.582 18083.168 17623.082 17234.418 16816.75 16442.916 16087.416 15704.334 15059.084 14474.834 13905.084 13341.5 12771.166 12194.917 11660.833 11091.334 10613.834 10039.917 9513.334 9057.584 8587.083 8167 7940.5 7829.167 7497.917 6855.0835 6263.75 5721.4165 5294.5 4870.417 4532.3335 4175.417 3836.5833 3547.25 3346.5 3147 2984.25 2785.75 2616.5833 2447.3333 2286.1667 2116.1665 1988.0834 1858.25 1708 1598.3334 1541.1667 1401.3333 1300.1666 1209.8334 1122.5 1025.25 975.25 906.583313 845.5 795 739.083374 693.25 644 592.083374 564.166626 518.833374 478.583313 484 446.1666565 414.416687 401.5 384.916687 350.3333435 332.25 311.666687 297.083313 274.75 254.4166565 252.4166565 247.9166565 220.6666565
"e04_1" 31.4099998 5591.833 6120.583 6554 7084.083 7805.5 8433.917 8839.917 9221.833 9528.666 9834.75 10121.75 10423.25 10817.166 11097.084 11330.583 11500.917 11239.084 10955.666 10582.166 10423.584 10350.084 10074.084 9940.416 9765.5 9614.25 9552.75 9513.25 9390.916 9181 8880.334 8672.166 8424.084 8124.5835 7782.167 7428.0835 7115.25 6773.083 6469.583 6171.083 5885.25 5557.833 5351.333 5091.917 4964.3335 4891.75 4618.583 4251.25 3859.5 3556.1665 3266.0833 3006.6667 2748.8335 2555.0835 2363.3335 2176.4165 2046.8334 1943.8333 1838.0833 1721.75 1626.25 1512.3333 1415.4166 1309.1667 1195.75 1120.3333 1062.8334 975.666687 943.833374 862.416687 790.5 732.25 672.833374 645.166626 598.166687 535.916626 536.833374 487 443.333313 435.0833435 402.25 380.6666565 337.833313 318.416687 305.5 322.5833435 305.4166565 292 263.916687 259.416687 248.6666565 220.6666718 212.75 207.0833435 188.25 178 171 159.1666718 156.3333435 151.5
